heathcareAlertId,e_nric,date,location_id,description
35,F5140385K,2021-17-05,735224,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
36,S9549979A,2021-17-05,298360,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
37,T7302963A,2021-17-05,630683,twentyseven new community COVID nineteen cases in Singapore 
38,S3144448I,2021-17-05,802499,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
39,G3498418U,2021-17-05,172681,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
40,G9219238K,2021-17-05,535661,twentyseven new community COVID nineteen cases in Singapore 
41,T5297915Z,2021-17-05,456826,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
42,F9349968U,2021-17-05,210630,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
43,T9149004D,2021-17-05,241746,twentyseven new community COVID nineteen cases in Singapore 
44,F8877694K,2021-17-05,988171,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
45,S3833731I,2021-17-05,176827,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
46,F0851797P,2021-17-05,856299,twentyseven new community COVID nineteen cases in Singapore 
47,G5888422M,2021-17-05,331618,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
48,F3807747M,2021-17-05,911439,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
49,T8210494H,2021-17-05,727423,twentyseven new community COVID nineteen cases in Singapore 
50,F1752408U,2021-17-05,835308,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
51,G9460241L,2021-17-05,654044,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
52,T2375893D,2021-17-05,567400,twentyseven new community COVID nineteen cases in Singapore 
53,S2132058G,2021-17-05,262489,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
54,T1101420D,2021-17-05,141653,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
55,T1277874G,2021-17-05,975880,twentyseven new community COVID nineteen cases in Singapore 
56,G6076496X,2021-17-05,435390,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
57,F8265301P,2021-17-05,763344,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
58,T8716023D,2021-17-05,114336,twentyseven new community COVID nineteen cases in Singapore 
59,T5696552H,2021-17-05,227137,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
60,S2107998G,2021-17-05,868828,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
61,F5246910N,2021-17-05,150148,twentyseven new community COVID nineteen cases in Singapore 
62,F3176827Q,2021-17-05,587055,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
63,G5953239T,2021-17-05,109599,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
64,G8244136R,2021-17-05,288006,twentyseven new community COVID nineteen cases in Singapore 
65,T0622646E,2021-17-05,665949,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
66,G1726052P,2021-17-05,855642,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
67,S6002497I,2021-17-05,875628,twentyseven new community COVID nineteen cases in Singapore 
68,G6158122M,2021-17-05,145644,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
69,T2420059G,2021-17-05,541585,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
70,T0956338A,2021-17-05,436576,twentyseven new community COVID nineteen cases in Singapore 
71,F1386167Q,2021-17-05,435933,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
72,F7131816T,2021-17-05,376978,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
73,T6698706F,2021-17-05,409183,twentyseven new community COVID nineteen cases in Singapore 
74,F8348388K,2021-17-05,923225,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
75,F8407765T,2021-17-05,526858,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
76,T2212466D,2021-17-05,787899,twentyseven new community COVID nineteen cases in Singapore 
77,G1006647L,2021-17-05,848959,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
78,F4272675M,2021-17-05,345494,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
79,F0769666M,2021-17-05,698301,twentyseven new community COVID nineteen cases in Singapore 
80,F6710594W,2021-17-05,395038,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
81,G0452530U,2021-17-05,891103,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
82,S8665336B,2021-17-05,938520,twentyseven new community COVID nineteen cases in Singapore 
83,G3754710M,2021-17-05,394447,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
84,G5621143N,2021-17-05,588074,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
85,G5148549T,2021-17-05,162410,twentyseven new community COVID nineteen cases in Singapore 
86,F1200725Q,2021-17-05,198453,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
87,G7249558L,2021-17-05,841919,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
88,T7889820D,2021-17-05,272998,twentyseven new community COVID nineteen cases in Singapore 
89,S2503891F,2021-17-05,225193,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
90,S7753949B,2021-17-05,844362,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
91,T7864029J,2021-17-05,791093,twentyseven new community COVID nineteen cases in Singapore 
92,T2848895A,2021-17-05,444999,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
93,S2160802E,2021-17-05,400632,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
94,S0204410B,2021-17-05,135195,twentyseven new community COVID nineteen cases in Singapore 
95,G8736988P,2021-17-05,121143,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
96,G9217439K,2021-17-05,937521,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
97,S7362902J,2021-17-05,179165,twentyseven new community COVID nineteen cases in Singapore 
98,G9131762T,2021-17-05,310692,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
99,S2022952G,2021-17-05,123853,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
100,T5758220G,2021-17-05,271003,twentyseven new community COVID nineteen cases in Singapore 
101,F4058079N,2021-17-05,589268,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
102,S7961631A,2021-17-05,771208,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
103,S0094450E,2021-17-05,990636,twentyseven new community COVID nineteen cases in Singapore 
104,T7458638J,2021-17-05,357858,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
105,S3822598G,2021-17-05,805215,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
106,S4728059A,2021-17-05,957313,twentyseven new community COVID nineteen cases in Singapore 
107,G8339472U,2021-17-05,945516,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
108,G0921584R,2021-17-05,359856,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
109,F2901487Q,2021-17-05,182197,twentyseven new community COVID nineteen cases in Singapore 
110,F0987417T,2021-17-05,165439,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
111,G3610663N,2021-17-05,729202,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
112,T4757952F,2021-17-05,964887,twentyseven new community COVID nineteen cases in Singapore 
113,G4841384L,2021-17-05,958015,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
114,G0673637N,2021-17-05,944879,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
115,G2792317N,2021-17-05,591606,twentyseven new community COVID nineteen cases in Singapore 
116,G7753700M,2021-17-05,592865,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
117,S4724963E,2021-17-05,101450,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
118,F9471091W,2021-17-05,794466,twentyseven new community COVID nineteen cases in Singapore 
119,S3646493C,2021-17-05,391635,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
120,S0283469C,2021-17-05,121450,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
121,S1349193C,2021-17-05,248075,twentyseven new community COVID nineteen cases in Singapore 
122,G3943597M,2021-17-05,485306,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
123,F4553465X,2021-17-05,803812,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
124,T1889233I,2021-17-05,157709,twentyseven new community COVID nineteen cases in Singapore 
125,G5793064R,2021-17-05,993418,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
126,F4787119X,2021-17-05,860672,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
127,T4507644F,2021-17-05,440763,twentyseven new community COVID nineteen cases in Singapore 
128,F9711727Q,2021-17-05,909473,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
129,S7590200Z,2021-17-05,471546,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
130,T1098934A,2021-17-05,119555,twentyseven new community COVID nineteen cases in Singapore 
131,G7080048P,2021-17-05,896178,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
132,S4050144D,2021-17-05,250850,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
133,G6486450K,2021-17-05,533612,twentyseven new community COVID nineteen cases in Singapore 
134,G9637734M,2021-17-05,642159,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
135,G8734517W,2021-17-05,816617,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
136,S1253738G,2021-17-05,747078,twentyseven new community COVID nineteen cases in Singapore 
137,T1199443H,2021-17-05,867021,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
138,T8543879J,2021-17-05,991215,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
139,G4285122T,2021-17-05,119617,twentyseven new community COVID nineteen cases in Singapore 
140,F3529603N,2021-17-05,974115,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
141,S3482932B,2021-17-05,614876,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
142,S6530350G,2021-17-05,867585,twentyseven new community COVID nineteen cases in Singapore 
143,S8934332A,2021-17-05,511638,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
144,T3350502C,2021-17-05,968095,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
145,F4863247P,2021-17-05,543749,twentyseven new community COVID nineteen cases in Singapore 
146,S6382809B,2021-17-05,704070,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
147,G4706861X,2021-17-05,129244,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
148,F1958203P,2021-17-05,115465,twentyseven new community COVID nineteen cases in Singapore 
149,G3276484W,2021-17-05,184834,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
150,S2544944D,2021-17-05,583998,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
151,F3763749K,2021-17-05,667792,twentyseven new community COVID nineteen cases in Singapore 
152,T8486260B,2021-17-05,255639,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
153,T3908413E,2021-17-05,672690,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
154,G6327892R,2021-17-05,427161,twentyseven new community COVID nineteen cases in Singapore 
155,G3891149Q,2021-17-05,145587,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
156,S8841900F,2021-17-05,291620,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
157,F5320937T,2021-17-05,699428,twentyseven new community COVID nineteen cases in Singapore 
158,G1816354W,2021-17-05,263271,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
159,S1578386I,2021-17-05,758941,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
160,S9763034H,2021-17-05,278276,twentyseven new community COVID nineteen cases in Singapore 
161,F8028416X,2021-17-05,140074,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
162,F9307852R,2021-17-05,460928,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
163,S7774190I,2021-17-05,914498,twentyseven new community COVID nineteen cases in Singapore 
164,T3712091F,2021-17-05,590863,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
165,F7396629U,2021-17-05,635329,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
166,S7581635I,2021-17-05,676636,twentyseven new community COVID nineteen cases in Singapore 
167,F3511929U,2021-17-05,271534,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
168,S2868062G,2021-17-05,519475,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
169,G5266566W,2021-17-05,670580,twentyseven new community COVID nineteen cases in Singapore 
170,T9468632B,2021-17-05,931749,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
171,S9335326I,2021-17-05,337622,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
172,S4428497I,2021-17-05,620977,twentyseven new community COVID nineteen cases in Singapore 
173,T7800160C,2021-17-05,839037,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
174,S1072596H,2021-17-05,826200,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
175,F9560784P,2021-17-05,720626,twentyseven new community COVID nineteen cases in Singapore 
176,G6389484U,2021-17-05,102028,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
177,T3182774J,2021-17-05,916699,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
178,F7843050T,2021-17-05,479302,twentyseven new community COVID nineteen cases in Singapore 
179,G3270516U,2021-17-05,554294,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
180,G7610733K,2021-17-05,681755,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
181,S6054535I,2021-17-05,842831,twentyseven new community COVID nineteen cases in Singapore 
182,F2738620L,2021-17-05,513611,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
183,S2385492I,2021-17-05,707882,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
184,G7418979U,2021-17-05,746321,twentyseven new community COVID nineteen cases in Singapore 
185,G6314651Q,2021-17-05,375339,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
186,T6497542G,2021-17-05,386399,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
187,T6342915A,2021-17-05,366627,twentyseven new community COVID nineteen cases in Singapore 
188,S9581588Z,2021-17-05,975078,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
189,F9067010R,2021-17-05,237710,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
190,F8853484X,2021-17-05,242771,twentyseven new community COVID nineteen cases in Singapore 
191,G9246605T,2021-17-05,724895,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
192,G2347737N,2021-17-05,618023,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
193,S0181133I,2021-17-05,137088,twentyseven new community COVID nineteen cases in Singapore 
194,T4463322H,2021-17-05,754586,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
195,T2167589F,2021-17-05,547214,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
196,T4580835H,2021-17-05,685117,twentyseven new community COVID nineteen cases in Singapore 
197,G5135412K,2021-17-05,343320,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
198,F7650241L,2021-17-05,955197,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
199,S8494333I,2021-17-05,292745,twentyseven new community COVID nineteen cases in Singapore 
200,S5969087F,2021-17-05,762531,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
201,G1361673L,2021-17-05,769238,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
202,T3531629E,2021-17-05,914681,twentyseven new community COVID nineteen cases in Singapore 
203,G5216800M,2021-17-05,570889,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
204,G0540793T,2021-17-05,459821,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
205,S4204448B,2021-17-05,147177,twentyseven new community COVID nineteen cases in Singapore 
206,S0206578I,2021-17-05,685577,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
207,S2695706J,2021-17-05,654479,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
208,G9065402R,2021-17-05,668715,twentyseven new community COVID nineteen cases in Singapore 
209,T8916340J,2021-17-05,275092,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
210,G4352078X,2021-17-05,651814,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
211,S0667780J,2021-17-05,566690,twentyseven new community COVID nineteen cases in Singapore 
212,S7001756C,2021-17-05,265341,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
213,F9911634W,2021-17-05,721542,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
214,T6338723H,2021-17-05,918716,twentyseven new community COVID nineteen cases in Singapore 
215,G1904796U,2021-17-05,576476,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
216,T2129967C,2021-17-05,920686,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
217,S2860222G,2021-17-05,548075,twentyseven new community COVID nineteen cases in Singapore 
218,G4988482L,2021-17-05,930480,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
219,G2245865K,2021-17-05,616005,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
220,G4151476R,2021-17-05,202756,twentyseven new community COVID nineteen cases in Singapore 
221,F6620725X,2021-17-05,255802,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
222,F2291238X,2021-17-05,861956,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
223,S1201091E,2021-17-05,543687,twentyseven new community COVID nineteen cases in Singapore 
224,T8976963E,2021-17-05,977768,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
225,F4656966X,2021-17-05,986544,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
226,T1748276E,2021-17-05,550288,twentyseven new community COVID nineteen cases in Singapore 
227,F1890679K,2021-17-05,872676,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
228,T6654968I,2021-17-05,539850,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
229,T7489488C,2021-17-05,476735,twentyseven new community COVID nineteen cases in Singapore 
230,G0489476L,2021-17-05,243464,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
231,T4080620I,2021-17-05,667971,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
232,S2826807F,2021-17-05,362382,twentyseven new community COVID nineteen cases in Singapore 
233,G4848336X,2021-17-05,488908,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
234,F6258013P,2021-17-05,764084,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
235,T2605684A,2021-17-05,775435,twentyseven new community COVID nineteen cases in Singapore 
236,T3775505I,2021-17-05,164653,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
237,S7137996E,2021-17-05,571718,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
238,T8578887B,2021-17-05,941846,twentyseven new community COVID nineteen cases in Singapore 
239,G0944837W,2021-17-05,180564,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
240,S5912338F,2021-17-05,333235,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
241,G9365614N,2021-17-05,674475,twentyseven new community COVID nineteen cases in Singapore 
242,S6492638A,2021-17-05,406681,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
243,G1670655N,2021-17-05,980813,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
244,S4513099A,2021-17-05,818895,twentyseven new community COVID nineteen cases in Singapore 
245,S9851063Z,2021-17-05,418930,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
246,F1573307K,2021-17-05,139353,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
247,S1918244D,2021-17-05,178182,twentyseven new community COVID nineteen cases in Singapore 
248,T7209241J,2021-17-05,883542,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
249,T6083352J,2021-17-05,133249,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
250,F8551726X,2021-17-05,823008,twentyseven new community COVID nineteen cases in Singapore 
251,T7637653G,2021-17-05,586878,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
252,T7235871B,2021-17-05,702547,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
253,G1611034K,2021-17-05,451190,twentyseven new community COVID nineteen cases in Singapore 
254,G8004607W,2021-17-05,168054,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
255,T5388750Z,2021-17-05,993075,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
256,G8810817K,2021-17-05,391565,twentyseven new community COVID nineteen cases in Singapore 
257,G1457918X,2021-17-05,448482,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
258,S2046554I,2021-17-05,328272,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
259,S6890091C,2021-17-05,302843,twentyseven new community COVID nineteen cases in Singapore 
260,F7796736L,2021-17-05,149345,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
261,S9470362Z,2021-17-05,529811,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
262,T6612108E,2021-17-05,473630,twentyseven new community COVID nineteen cases in Singapore 
263,F2935099W,2021-17-05,245021,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
264,G8104268W,2021-17-05,711335,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
265,S0774754C,2021-17-05,879290,twentyseven new community COVID nineteen cases in Singapore 
266,F1918326L,2021-17-05,614100,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
267,F2759142Q,2021-17-05,960642,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
268,G6150136W,2021-17-05,248258,twentyseven new community COVID nineteen cases in Singapore 
269,T9198826C,2021-17-05,630024,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
270,S7052138E,2021-17-05,607906,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
271,S2434715Z,2021-17-05,832032,twentyseven new community COVID nineteen cases in Singapore 
272,S0232886J,2021-17-05,442806,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
273,G9131845N,2021-17-05,388482,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
274,T3445649B,2021-17-05,460273,twentyseven new community COVID nineteen cases in Singapore 
275,S7102491A,2021-17-05,800870,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
276,S1254313A,2021-17-05,513447,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
277,S2191451G,2021-17-05,817688,twentyseven new community COVID nineteen cases in Singapore 
278,F4324495R,2021-17-05,397850,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
